Provincia,Estadisticos,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Sevilla,Media,"1,5","1,5",2,"1,4","2,6","3,2","3,1","3,6","2,2","1,8","1,2","1,1","2,1",2019
Sevilla,Cuartil_3,"1,7","1,9","2,3","1,8","3,1","3,5","3,6",4,"3,1","2,2","1,5",1,"2,9",2019
Sevilla,Maximo,2,"2,2","3,2","2,3","4,6","4,2","4,4","4,8","4,6","3,2","2,2","1,9","4,8",2019
Soria,Minimo,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,2019
Soria,Cuartil_1,"1,3","1,2","2,3",1,"1,1","1,7","1,7","2,5","1,3",1,1,1,1,2019
Soria,Mediana,"2,1","2,1","2,9",1,"1,8","2,8","2,4","3,3","2,1","1,6",1,1,"1,9",2019
Soria,Media,"1,9",2,"2,7","1,3","1,8","2,6","2,4",3,"2,2","1,9",1,"1,1",2,2019
Soria,Cuartil_3,"2,3","2,6","3,1","1,4","2,5","3,1","3,1","3,7","2,9","2,8",1,"1,1","2,8",2019
Soria,Maximo,"2,8","3,1","3,5","2,4","3,3","4,7",4,"4,5","4,2","3,1","1,4","1,5","4,7",2019
Tarragona,Minimo,1,"1,1","1,2",1,1,1,1,1,1,1,1,1,1,2019
Tarragona,Cuartil_1,"1,5","1,8","2,3","1,2","1,4","2,6","2,7","2,6","1,3",1,1,1,"1,3",2019
Tarragona,Mediana,"2,2","2,1","3,2","1,7",2,3,"3,5","3,7","2,1","1,7","1,5",1,"2,2",2019
Tarragona,Media,"2,3","2,2",3,"1,9",2,3,"3,4","3,3",2,"1,9","1,6","1,2","2,3",2019
Tarragona,Cuartil_3,"2,9","2,5","3,5","2,7","2,6","3,6","4,2","4,3","2,6","2,5",2,"1,1","3,1",2019
Tarragona,Maximo,"3,9","3,5","4,5","3,8","3,6","4,6","4,6","4,8",4,"4,5","3,1","2,6","4,8",2019
Teruel,Minimo,1,"1,1","1,1",1,1,"1,1",1,"1,1",1,1,1,1,1,2019
Teruel,Cuartil_1,"1,4","1,5","2,7",1,"1,3","2,2","1,8","2,6","1,2","1,3","1,2","1,1","1,3",2019
Teruel,Mediana,"1,8","1,8","2,9","1,1",2,"2,8","2,8","3,8","1,9","2,2","1,4","1,2","1,9",2019
Teruel,Media,"1,8","1,9","2,8","1,4","1,8","2,8","2,9","3,3","1,9","2,2","1,5","1,3","2,1",2019
Teruel,Cuartil_3,"2,2","2,4",3,"1,7","2,2","3,5","4,2","4,1","2,5",3,"1,7","1,4","2,8",2019
Teruel,Maximo,"2,9",3,"3,6","2,6",3,"4,8","4,8","4,9","3,7",4,"2,7","1,7","4,9",2019
Toledo,Minimo,1,1,1,1,1,"2,2",2,"1,3",1,1,1,1,1,2019
Toledo,Cuartil_1,"1,3","1,4","2,2",1,2,"3,2","3,4","3,5","1,1",1,1,1,"1,1",2019
Toledo,Mediana,"1,6","1,9","2,5","1,1","2,3","3,4","3,9","4,1",2,"1,1",1,1,2,2019
Toledo,Media,"1,6","1,8","2,4","1,4","2,4","3,6","3,8","3,9","2,3","1,5","1,1",1,"2,2",2019
Toledo,Cuartil_3,"1,9","2,1","2,9",2,3,4,"4,2","4,5",3,"2,1","1,1",1,"3,2",2019
Toledo,Maximo,"2,1","2,5","3,5","2,7","3,7",5,"4,9",5,5,3,"1,7","1,5",5,2019
Valencia,Minimo,1,"1,5",1,1,1,"1,1",1,1,1,1,1,1,1,2019
Valencia,Cuartil_1,"1,6","1,7","2,4",1,1,"2,2","2,8","2,2",1,1,"1,6",1,"1,2",2019
Valencia,Mediana,"1,9",2,"2,8","1,1","1,3","2,5","3,6","3,3","1,1","1,6","1,8","1,1",2,2019
Valencia,Media,"1,9","2,1","2,7","1,4","1,5","2,6","3,3","3,1","1,4","1,8","1,9","1,2","2,1",2019
Valencia,Cuartil_3,"2,2","2,3",3,"1,7","1,9",3,"3,9",4,"1,8","2,5","2,3","1,5","2,7",2019
Valencia,Maximo,"3,5","3,3","4,5","3,1","3,6","4,4","4,4",5,"2,7","3,1","2,8","1,8",5,2019
Valladolid,Minimo,1,1,1,1,"1,4",1,1,"1,1",1,1,1,1,1,2019
Valladolid,Cuartil_1,"1,1","1,2",2,1,"1,7",2,"2,1","2,3","1,8",1,1,1,1,2019
Valladolid,Mediana,"1,3","1,8","2,3","1,2","2,1","2,9","2,5","3,1","2,2",1,1,1,"1,9",2019
Valladolid,Media,"1,4","1,7","2,4","1,6","2,2","2,8","2,5","2,9","2,8","1,7",1,1,2,2019
Valladolid,Cuartil_3,"1,7",2,"2,8",2,"2,5","3,6",3,"3,4","3,8","2,2",1,1,"2,6",2019
Valladolid,Maximo,2,"2,5","3,3","2,9","3,8","4,7","3,8","4,7",5,"3,9","1,1","1,6",5,2019
Bizkaia,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2019
Bizkaia,Cuartil_1,1,1,"1,7","1,1",1,"1,1","1,9","1,3","1,5",1,1,1,1,2019
Bizkaia,Mediana,1,2,"2,4","1,6","1,4",2,"2,6","2,5",2,"1,5",1,1,"1,7",2019
Bizkaia,Media,"1,1","2,3","2,4","1,6","1,7","2,3","2,4","2,4","2,1","1,8","1,1","1,5","1,9",2019
Bizkaia,Cuartil_3,1,"3,2",3,2,"2,1","3,2","3,1",3,"2,4","2,4",1,2,"2,5",2019
Bizkaia,Maximo,"1,9","4,9","4,9",3,"3,3","4,4",5,"4,1","4,2","4,7",2,"2,8",5,2019
Zamora,Minimo,1,1,1,1,"1,1",1,1,1,1,1,1,1,1,2019
Zamora,Cuartil_1,"1,4",1,2,1,"1,9","1,7","1,7","2,3","1,5",1,1,1,"1,1",2019
Zamora,Mediana,"1,7","1,5","2,1","1,2","2,2","2,3","2,4","2,7","2,3",1,1,1,"1,9",2019
Zamora,Media,"1,6","1,5","2,2","1,5","2,2","2,4","2,2","2,6","2,7","1,7","1,1","1,1","1,9",2019
Zamora,Cuartil_3,"1,8",2,"2,6",2,"2,5","2,9","2,7","3,1","3,7","2,3","1,1","1,1","2,5",2019
Zamora,Maximo,"2,2","2,7","3,4","2,8","3,4","4,6","3,5","3,7","4,8","4,3","1,2","1,2","4,8",2019
Zaragoza,Minimo,1,1,"1,3",1,1,1,"1,1",1,1,1,1,1,1,2019
Zaragoza,Cuartil_1,"1,2","1,1","2,4",1,"1,7","2,1",2,"2,8","1,6",1,1,1,"1,1",2019
Zaragoza,Mediana,"1,4","1,5","2,6","1,1","2,1","2,8",3,"3,2","2,2","1,5",1,1,"1,9",2019
Zaragoza,Media,"1,6","1,6","2,7","1,5","2,2","2,9","2,9","3,2","2,3",2,"1,1",1,"2,1",2019
Zaragoza,Cuartil_3,"1,9","1,9",3,"1,9","2,6","3,7","3,8","3,9",3,"2,8","1,1",1,"2,8",2019
Zaragoza,Maximo,"2,5","2,9",4,3,"3,7",5,"4,6","4,5","4,7","3,9",2,"1,3",5,2019
Araba,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2020
Araba,Cuartil_1,1,"1,6",1,1,"1,6",1,"2,7","1,9",1,1,1,1,1,2020
Araba,Mediana,"1,3",2,"1,5","1,1",2,"1,3","3,4","3,9","3,5",1,"1,1",1,"1,5",2020
Araba,Media,"1,4",2,"1,6","1,4","2,2","1,6","3,4","3,4",3,1,"1,2",1,"1,9",2020
Araba,Cuartil_3,"1,8","2,3",2,"1,7",3,"1,8","4,3","4,7","4,6",1,"1,4",1,"2,3",2020
Araba,Maximo,"2,1","3,1","2,8","2,9","3,6","3,1",5,5,5,"1,8","2,3","1,2",5,2020
Albacete,Minimo,1,1,1,1,1,1,1,"1,7",1,1,1,1,1,2020
Albacete,Cuartil_1,1,1,1,1,"1,4","1,8","2,3","2,8","1,6",1,1,1,1,2020
Albacete,Mediana,"1,1","1,1","1,1",1,2,"2,2","3,2","3,6","2,2","1,1",1,1,"1,4",2020
Albacete,Media,"1,2","1,5","1,5","1,1","1,8","2,2","3,2","3,5","2,3","1,5",1,1,"1,8",2020
Albacete,Cuartil_3,"1,5","1,8","2,2",1,"2,1","2,7","4,1","4,1","2,8","1,6",1,1,"2,3",2020
Albacete,Maximo,2,"2,8","2,6","1,7",3,"3,8","4,8","4,9","4,2","4,7","1,6",1,"4,9",2020
Alicante,Minimo,1,1,1,1,1,1,2,1,1,1,1,1,1,2020
Alicante,Cuartil_1,1,1,1,1,"1,1","1,4","2,5","2,4","1,2","1,2",1,1,1,2020
Alicante,Mediana,"1,1","1,4",1,1,"1,9",2,"3,4","3,5",2,"1,6",1,1,"1,4",2020
Alicante,Media,"1,2","1,6","1,9","1,1","1,8","1,9","3,2","3,1","2,2","1,9","1,1","1,2","1,8",2020
Alicante,Cuartil_3,"1,3","1,8","2,5",1,"2,1","2,3","3,8","4,1","2,8","2,2",1,"1,2","2,4",2020
Alicante,Maximo,"2,2",3,"4,7","1,9",3,"3,3","4,4","4,6","4,9","4,9","1,6","2,3","4,9",2020
Almeria,Minimo,1,"1,1",1,1,1,1,2,"1,6",1,1,1,1,1,2020
Almeria,Cuartil_1,1,"1,2",1,1,"1,1","1,7","2,8","3,2","1,4","1,1",1,1,1,2020
Almeria,Mediana,"1,2","1,3","1,3",1,"1,9","2,1","3,4","3,7","2,3","1,6",1,1,"1,5",2020
Almeria,Media,"1,3","1,5","1,7",1,"1,8","2,1","3,3","3,6","2,2","1,7","1,1","1,1","1,9",2020
Almeria,Cuartil_3,"1,4","1,6","2,3",1,"2,1","2,4","3,7","4,1","2,7","2,3","1,1","1,2","2,4",2020
Almeria,Maximo,2,"2,5","3,5","1,3","3,2","3,3","4,7","4,7","4,2","3,7",2,"1,6","4,7",2020
Avila,Minimo,1,1,1,1,1,1,"1,5",1,1,1,1,1,1,2020
Avila,Cuartil_1,1,"1,5",1,1,"1,1","1,1","3,1","2,7",1,1,1,1,1,2020
Avila,Mediana,"1,7","1,7","1,3",1,"1,8","1,7","3,7",4,2,1,1,1,"1,2",2020
Avila,Media,"1,5","1,8","1,5",1,"1,7","1,6","3,6","3,5","2,3",1,1,1,"1,8",2020
Avila,Cuartil_3,"1,9","2,2","1,9",1,2,2,"4,3","4,5","3,7",1,1,1,"2,1",2020
Avila,Maximo,"2,1","2,8","2,4","1,6","2,7","2,9",5,"4,9","4,6","2,3",1,1,5,2020
Badajoz,Minimo,1,1,1,1,1,1,"1,4",1,1,1,1,1,1,2020
Badajoz,Cuartil_1,1,1,"1,1",1,"1,2","1,8","3,1","2,6",1,1,1,1,1,2020
Badajoz,Mediana,1,1,"1,4",1,"1,9","2,2","3,8","3,3","1,8",1,1,1,"1,2",2020
Badajoz,Media,"1,1","1,3","1,5",1,"1,7","2,4","3,7","3,3","2,3","1,3",1,1,"1,8",2020
Badajoz,Cuartil_3,"1,2","1,9","1,9",1,"2,1",3,"4,3",4,"3,6","1,2",1,1,"2,2",2020
Badajoz,Maximo,"1,6",2,"2,3","1,3","2,6","4,1",5,5,"4,8","4,6",1,1,5,2020
Illes Balears,Minimo,1,"1,1",1,1,1,1,"1,4","1,1",1,1,1,1,1,2020
Illes Balears,Cuartil_1,1,"1,3",1,1,"1,6","1,1","2,4","2,3",1,1,1,1,1,2020
Illes Balears,Mediana,"1,1","1,5","1,7",1,2,"1,6","3,1","2,6","1,1","1,1",1,1,"1,4",2020
Illes Balears,Media,"1,2","1,7","1,7","1,3",2,"1,7",3,"2,7","1,5","1,3","1,3","1,1","1,7",2020
Illes Balears,Cuartil_3,"1,3",2,"2,2","1,6","2,3","2,1","3,5","2,8","1,8","1,2","1,4","1,1","2,1",2020
Illes Balears,Maximo,"2,2",3,"3,1","2,6","2,9","2,7","4,6","4,7","4,4","4,4","2,7","1,9","4,7",2020
Barcelona,Minimo,1,"1,2",1,1,1,1,1,1,1,1,1,1,1,2020
Barcelona,Cuartil_1,"1,1","1,5",1,1,"1,3",1,"2,1","2,9",1,1,1,1,1,2020
Barcelona,Mediana,"1,2","2,1","1,6","1,4","2,6","1,2","2,9","3,8","1,3",1,1,1,"1,4",2020
Barcelona,Media,"1,3","2,1","1,8","1,6","2,3","1,5","2,9","3,5","1,4","1,1","1,1",1,"1,8",2020
Barcelona,Cuartil_3,"1,5","2,4","2,4","2,1",3,"1,8","3,8","4,3","1,7","1,1","1,1",1,"2,3",2020
Barcelona,Maximo,"2,2","3,5",3,"3,3","3,5","2,9","4,8",5,"3,1",2,"1,5","1,4",5,2020
Burgos,Minimo,1,"1,1",1,1,1,1,1,1,1,1,1,1,1,2020
Burgos,Cuartil_1,"1,1","1,4","1,4",1,"1,3",1,3,"1,6",1,1,1,1,1,2020
Burgos,Mediana,"1,4",2,"1,6",1,2,"1,1","3,3","3,3","2,9",1,1,1,"1,3",2020
Burgos,Media,"1,5","1,8","1,7","1,2",2,"1,4","3,3",3,"2,5",1,"1,1",1,"1,8",2020
Burgos,Cuartil_3,"1,8","2,2",2,"1,3","2,6","1,6","3,8",4,"3,7",1,"1,1",1,"2,2",2020
Burgos,Maximo,"2,2","2,7","2,6","2,5","3,1","2,7","4,9",5,"4,8","2,2","1,5","1,3",5,2020
Caceres,Minimo,1,1,1,1,1,"1,2","1,2","1,1",1,1,1,1,1,2020
Caceres,Cuartil_1,1,1,1,1,1,"1,6","3,5","2,8",1,1,1,1,1,2020
Caceres,Mediana,"1,1","1,1","1,5",1,"1,6",2,"3,9","3,7","1,6",1,1,1,"1,1",2020
Caceres,Media,"1,1","1,3","1,4",1,"1,6","2,2","3,8","3,4","2,4","1,1",1,1,"1,8",2020
Caceres,Cuartil_3,"1,1","1,7","1,8",1,2,"2,6","4,2","4,2","3,8",1,1,1,2,2020
Caceres,Maximo,"1,5",2,"1,9","1,9","2,2","3,9",5,5,"4,9","2,5",1,1,5,2020
Cadiz,Minimo,1,1,1,1,1,1,"1,4",1,1,1,1,1,1,2020
Cadiz,Cuartil_1,1,"1,2",1,1,1,"1,4","2,3","2,4","1,4",1,1,1,1,2020
Cadiz,Mediana,"1,1","1,4","1,2",1,"1,9",2,"2,9","2,8","2,2","1,1",1,1,"1,2",2020
Cadiz,Media,"1,1","1,5","1,4","1,1","1,8",2,3,"2,8","2,4","1,6",1,1,"1,7",2020
Cadiz,Cuartil_3,"1,2","1,8","1,9",1,"2,3","2,1","3,6","3,5","3,5","1,8",1,1,"2,2",2020
Cadiz,Maximo,"1,8","2,1","2,5","1,4","3,2","3,9","4,7","4,8","4,8","4,3",1,1,"4,8",2020
Castellon,Minimo,1,"1,1",1,1,1,1,1,"1,3",1,1,1,1,1,2020
Castellon,Cuartil_1,1,"1,4",1,1,"1,2","1,1","1,8","3,1","1,9","1,3",1,1,1,2020
Castellon,Mediana,"1,4","1,6","1,2",1,"2,1","1,6","2,3","3,6",3,"1,8",1,1,"1,5",2020
Castellon,Media,"1,5","1,9","1,8","1,1","1,8","1,6","2,5","3,4","2,9",2,"1,1",1,"1,9",2020
Castellon,Cuartil_3,"1,8","2,2","2,7",1,"2,3",2,"3,2",4,"3,7","2,6",1,1,"2,4",2020
Castellon,Maximo,"2,6","3,6","3,9","1,7","2,8","2,7","4,1","4,6","4,6","3,8","1,9","1,3","4,6",2020
Ciudad Real,Minimo,1,1,1,1,1,1,"1,5",1,1,1,1,1,1,2020
Ciudad Real,Cuartil_1,1,1,1,1,"1,2","1,8",3,2,1,1,1,1,1,2020
Ciudad Real,Mediana,1,1,"1,5",1,2,"2,3","3,6","2,9","1,6",1,1,1,"1,1",2020
Ciudad Real,Media,"1,1","1,3","1,5","1,1","1,8","2,2","3,6",3,"1,8","1,3",1,1,"1,7",2020
Ciudad Real,Cuartil_3,"1,1",2,"1,9",1,2,"2,6","4,2","3,9","2,1","1,1",1,1,"2,1",2020
Ciudad Real,Maximo,"1,7","2,1","2,1","1,5",3,"3,7","4,9",5,"4,2",4,1,1,5,2020
Cordoba,Minimo,1,1,1,1,1,"1,1","2,1",1,1,1,1,1,1,2020
Cordoba,Cuartil_1,1,1,1,1,"1,1","1,9","3,3","2,1","1,1",1,1,1,1,2020
Cordoba,Mediana,1,"1,1","1,5",1,2,"2,4","3,8","3,4","1,4",1,1,1,"1,1",2020
Cordoba,Media,"1,1","1,4","1,5",1,"1,8","2,5","3,7",3,"1,8","1,3",1,1,"1,8",2020
Cordoba,Cuartil_3,"1,2","1,8","1,9",1,"2,1",3,"4,2",4,"2,3","1,2",1,1,"2,2",2020
Cordoba,Maximo,"1,7","2,1","2,4","1,2","3,1","4,6",5,5,"4,4","4,1",1,1,5,2020
A Coruña,Minimo,1,1,1,1,1,1,2,1,1,1,1,1,1,2020
A Coruña,Cuartil_1,1,1,"1,1",1,"1,8","1,4","3,6",1,1,1,1,1,1,2020
A Coruña,Mediana,"1,6","1,4","1,7","1,2","2,5",2,4,"1,2","1,8",1,1,1,"1,3",2020
A Coruña,Media,"1,5","1,6","1,8","1,4","2,6","1,9","3,9","2,2","2,2",1,1,1,"1,8",2020
A Coruña,Cuartil_3,"1,8",2,2,"1,6","3,5","2,4","4,4","3,8","3,6",1,1,1,"2,2",2020
A Coruña,Maximo,"2,3","2,7","4,2","3,7","4,8","2,9",5,"4,7","4,4","1,5","1,5","1,3",5,2020
Cuenca,Minimo,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,2020
Cuenca,Cuartil_1,1,"1,1",1,1,"1,2","1,5","2,5","2,9","1,2",1,1,1,1,2020
Cuenca,Mediana,"1,2","1,2","1,1",1,"1,9",2,"3,4","3,5","1,7",1,1,1,"1,2",2020
Cuenca,Media,"1,3","1,5","1,3","1,1","1,8",2,"3,2","3,4","2,1","1,1",1,1,"1,7",2020
Cuenca,Cuartil_3,"1,6",2,"1,6",1,"2,1","2,6",4,"4,2","2,8",1,1,1,"2,1",2020
Cuenca,Maximo,"2,1","2,6","2,1","1,6","3,1","3,7",5,5,"4,7","2,3",1,1,5,2020
Girona,Minimo,1,"1,2",1,1,1,1,"1,1",1,1,1,1,1,1,2020
Girona,Cuartil_1,"1,1","1,7","1,1",1,"1,4",1,"1,7","2,6",1,1,1,1,1,2020
Girona,Mediana,"1,4","2,3","1,7","1,2","2,6","1,1","2,3","3,5","1,2",1,"1,1",1,"1,4",2020
Girona,Media,"1,6","2,1","1,7","1,6","2,3","1,4","2,4","3,2","1,4","1,1","1,2",1,"1,8",2020
Girona,Cuartil_3,"1,9","2,5","2,1","2,3","3,1","1,5","2,8",4,"1,8",1,"1,3",1,"2,3",2020
Girona,Maximo,"2,5","3,1","2,7","3,4","3,8","2,8","4,4","4,9","2,5","1,5","2,5","1,1","4,9",2020
Granada,Minimo,1,"1,1",1,1,1,"1,1","1,4","2,8",1,1,1,1,1,2020
Granada,Cuartil_1,1,"1,4",1,1,"1,1","1,6","3,2","3,7","1,6",1,1,1,1,2020
Granada,Mediana,"1,4","1,5","1,7",1,"1,7","2,1","3,6","4,2","2,3","1,1",1,1,"1,5",2020
Granada,Media,"1,3","1,7","1,6",1,"1,7","2,1","3,6","4,1","2,4","1,5",1,1,"1,9",2020
Granada,Cuartil_3,"1,5","1,9","2,1",1,2,"2,5",4,"4,5","2,9","1,4",1,1,"2,3",2020
Granada,Maximo,2,"2,4","2,3","1,4","2,9",3,"4,7",5,"4,1","3,7","1,7",1,5,2020
Guadalajara,Minimo,1,1,1,1,1,1,"1,4",1,1,1,1,1,1,2020
Guadalajara,Cuartil_1,1,"1,2",1,1,"1,1",1,"2,4","2,7",1,1,1,1,1,2020
Guadalajara,Mediana,"1,4","1,3","1,2",1,"1,5","1,3","3,5","3,8","2,1",1,1,1,"1,2",2020
Guadalajara,Media,"1,4","1,6","1,3",1,"1,7","1,5","3,3","3,5","2,1",1,1,1,"1,7",2020
Guadalajara,Cuartil_3,"1,7","2,1","1,5",1,"2,1","1,9","4,1","4,3","2,8",1,1,1,"2,1",2020
Guadalajara,Maximo,2,"2,8","2,1","1,7","2,9",3,5,"4,9","4,2","1,6",1,1,5,2020
Gipuzkoa,Minimo,1,1,1,1,1,1,1,1,1,1,1,1,1,2020
Gipuzkoa,Cuartil_1,1,"1,3",1,1,"1,5",1,"1,6","1,2",1,1,1,1,1,2020
Gipuzkoa,Mediana,"1,6",2,"1,4","1,2","2,1","1,2","2,8","2,7","2,3",1,"1,1",1,"1,4",2020
Gipuzkoa,Media,"1,6","1,9","1,6","1,6","2,3","1,7","2,9","2,8","2,6","1,2","1,7",1,"1,9",2020
Gipuzkoa,Cuartil_3,2,"2,2","2,1",2,"3,1","2,4","4,2","4,3",4,1,"2,2",1,"2,6",2020
Gipuzkoa,Maximo,"3,1",4,3,"3,5","4,1","3,3",5,5,5,"3,3","3,4","1,8",5,2020
Huelva,Minimo,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,2020
Huelva,Cuartil_1,1,1,1,1,1,"1,6","2,8","2,7",1,1,1,1,1,2020
Huelva,Mediana,1,"1,1","1,5",1,"1,9",2,"3,2","3,4","1,6",1,1,1,"1,1",2020
Huelva,Media,"1,1","1,4","1,6",1,"1,7","2,2","3,2","3,4","2,2","1,5",1,1,"1,8",2020
Huelva,Cuartil_3,"1,2",2,2,1,2,"2,6","3,8","4,4",3,"1,6",1,1,"2,2",2020
Huelva,Maximo,"1,8","2,4","2,8","1,3","2,5","3,9","4,8",5,5,"4,7",1,1,5,2020
Huesca,Minimo,"1,1","1,1","1,1","1,1","1,1",1,"1,1","1,4",1,1,1,1,1,2020
Huesca,Cuartil_1,"1,1","1,6","1,1","1,1","1,2",1,"1,7",3,"1,6",1,1,1,"1,1",2020
Huesca,Mediana,"1,4","1,9","1,3","1,1","1,7","1,3","2,9","4,4","3,5",1,1,1,"1,4",2020
Huesca,Media,"1,3","1,9","1,4","1,2","1,8","1,4",3,"3,9",3,"1,4","1,2",1,"1,9",2020
Huesca,Cuartil_3,"1,6","2,1","1,6","1,2","2,3","1,7","4,2","4,7",4,"1,6","1,3",1,"2,2",2020
Huesca,Maximo,"1,7",3,"2,5","1,8",3,"2,7",5,5,"4,9","2,8","1,8","1,4",5,2020
Jaen,Minimo,1,1,1,1,1,1,"1,4","1,2",1,1,1,1,1,2020
Jaen,Cuartil_1,1,1,1,1,1,"1,6","3,3","2,9","1,3",1,1,1,1,2020
Jaen,Mediana,"1,2","1,3","1,2",1,2,"2,1","3,6","3,5",2,1,1,1,"1,3",2020
Jaen,Media,"1,2","1,4","1,4",1,"1,7","2,1","3,6","3,4","2,1","1,3",1,1,"1,8",2020
Jaen,Cuartil_3,"1,3","1,8","1,9",1,"2,1","2,5",4,"4,1","2,7","1,1",1,1,"2,2",2020
Jaen,Maximo,"1,7",2,2,"1,4","2,7","3,6","4,9",5,"4,4","4,2","1,2",1,5,2020
Leon,Minimo,"1,1","1,1","1,1","1,1","1,1",1,"1,4",1,1,1,1,1,1,2020
Leon,Cuartil_1,"1,2","1,4","1,6","1,1","1,2","1,1","2,7","1,2",1,1,1,1,1,2020
Leon,Mediana,"1,5","1,7",2,"1,2",2,"1,3","3,3","2,6","1,4",1,1,1,"1,3",2020
Leon,Media,"1,5","1,7","1,9","1,3",2,"1,5","3,4","2,7","2,1",1,1,1,"1,8",2020
Leon,Cuartil_3,"1,9","2,2","2,3","1,4","2,7","1,9","3,9","4,1","3,4",1,1,1,"2,2",2020
Leon,Maximo,"2,2","2,7","2,7","2,2","3,2",3,5,5,"4,5","2,2","1,2","1,1",5,2020
Lleida,Minimo,"1,1","1,3","1,1","1,1","1,1","1,1",1,1,1,1,1,1,1,2020
Lleida,Cuartil_1,"1,1","1,8","1,1","1,1","1,2","1,1","1,8","3,4","1,5",1,1,1,"1,1",2020
Lleida,Mediana,"1,5","1,9","1,3","1,2","1,8","1,2","2,8","4,6","2,2","1,1","1,1",1,"1,5",2020
Lleida,Media,"1,5",2,"1,6","1,4","1,9","1,4","2,7",4,"2,2","1,3","1,3",1,"1,9",2020
Lleida,Cuartil_3,"1,7","2,2","1,8","1,7","2,6","1,7","3,5","4,8","3,1","1,5","1,6",1,"2,2",2020
Lleida,Maximo,"1,8","3,2","2,7","2,2","3,3","2,5","4,9",5,"3,8","2,9",2,"1,2",5,2020
La Rioja,Minimo,1,"1,1",1,1,1,1,"1,1","1,2",1,1,1,1,1,2020
La Rioja,Cuartil_1,1,"1,6","1,2",1,"1,3",1,"2,7","3,1","1,2",1,1,1,1,2020
La Rioja,Mediana,"1,5",2,"1,4",1,"2,1",1,"3,6","4,5","3,9",1,"1,1",1,"1,4",2020
La Rioja,Media,"1,4","2,1","1,6","1,2",2,"1,4","3,4","3,8",3,"1,1","1,2",1,"1,9",2020
La Rioja,Cuartil_3,"1,8","2,5","1,7","1,1","2,6","1,6","4,3","4,9","4,6",1,"1,2",1,"2,3",2020
La Rioja,Maximo,2,3,"3,5","2,4","3,1",3,5,5,5,"1,7","1,9","1,5",5,2020
Lugo,Minimo,1,1,1,1,1,1,"2,3",1,1,1,1,1,1,2020
Lugo,Cuartil_1,"1,1","1,3","1,1",1,"1,6","1,2","3,4","1,1",1,1,1,1,1,2020
Lugo,Mediana,"1,5","1,8","1,7","1,3","2,2","1,7","3,8","1,8","1,8",1,1,1,"1,3",2020
Lugo,Media,"1,5","1,8","1,7","1,4","2,4","1,7","3,7","2,5","2,3","1,1","1,1",1,"1,8",2020
Lugo,Cuartil_3,"1,9","2,1",2,"1,5","3,2","2,2","4,2",4,"3,6",1,1,1,"2,3",2020
Lugo,Maximo,"2,6",3,"2,9","3,1","3,8",3,"4,8","4,9","4,7","2,7","1,8",1,"4,9",2020
Madrid,Minimo,1,1,1,1,1,1,"2,1",1,1,1,1,1,1,2020
Madrid,Cuartil_1,1,"1,1",1,1,"1,3","1,5","2,9","2,1",1,1,1,1,1,2020
Madrid,Mediana,"1,3","1,2","1,4",1,"1,9","1,9","3,6","3,6","1,3",1,1,1,"1,2",2020
Madrid,Media,"1,3","1,5","1,5","1,1","1,8","1,9","3,5","3,1","1,8",1,1,1,"1,7",2020
Madrid,Cuartil_3,"1,5","2,1","1,9",1,"2,1","2,1","4,1","4,2","2,4",1,1,1,"2,1",2020
Madrid,Maximo,2,"2,5","2,1","1,6",3,"3,1","4,9",5,"3,8",1,1,1,5,2020
Malaga,Minimo,1,1,1,1,1,"1,1","1,8","1,3",1,1,1,1,1,2020
Malaga,Cuartil_1,1,"1,3",1,1,1,"1,6","2,9","3,1","1,3",1,1,1,1,2020
Malaga,Mediana,"1,1","1,7","1,9",1,2,2,"3,5","3,8","1,8","1,1",1,1,"1,4",2020
Malaga,Media,"1,2","1,7","1,7",1,"1,7","2,2","3,3","3,6","2,3","1,6",1,1,"1,9",2020
Malaga,Cuartil_3,"1,3","1,9","2,1",1,"2,2","2,7","3,8","4,4","3,1","1,6",1,1,"2,5",2020
Malaga,Maximo,"1,9","2,5","2,6","1,2","2,6","3,8","4,8",5,"4,8","3,8","1,4",1,5,2020
Murcia,Minimo,1,1,1,1,1,1,"1,7","1,6",1,1,1,1,1,2020
Murcia,Cuartil_1,1,1,1,1,1,"1,5","2,7","2,9","1,3","1,1",1,1,1,2020
Murcia,Mediana,"1,1","1,1",1,1,"1,9",2,"3,3","3,7","1,7","1,3",1,1,"1,3",2020
Murcia,Media,"1,2","1,4","1,7",1,"1,7",2,"3,3","3,5","2,1","1,6",1,"1,1","1,8",2020
Murcia,Cuartil_3,"1,4","1,6","2,3",1,"2,1","2,4",4,"4,1","2,7","1,7",1,"1,2","2,4",2020
Murcia,Maximo,2,"2,6","3,9","1,4",3,"3,5","4,5","4,7","4,7","4,5","1,7","1,6","4,7",2020
Navarra,Minimo,1,"1,1",1,1,1,1,1,"1,1",1,1,1,1,1,2020
Navarra,Cuartil_1,"1,1","1,6","1,1",1,"1,4",1,3,"3,5","1,2",1,1,1,1,2020
