Provincia,Estadisticos,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Ourense,Maximo,"1,9","1,6","1,3","1,8","2,7","2,9","4,9","4,9","4,5","2,6","1,0","1,0","4,9",2022
Asturias,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0",2022
Asturias,Cuartil_1,"1,0","1,0","1,0","1,0","1,2","1,0","1,4","1,6","1,0","1,0","1,0","1,0","1,0",2022
Asturias,Mediana,"1,3","1,3","1,0","1,0","2,0","1,0","3,4","2,8","1,9","1,4","1,0","1,0","1,2",2022
Asturias,Media,"1,6","1,5","1,3","1,3","2,1","1,4","2,9","2,6","2,3","1,7","1,3","1,1","1,8",2022
Asturias,Cuartil_3,"2,1","1,9","1,5","1,3","2,9","1,0","4,1","3,6","3,8","2,0","1,2","1,1","2,2",2022
Asturias,Maximo,"3,5","2,9","2,4","3,6","3,8","4,0","4,8","4,4","4,2","3,6","3,5","2,1","4,8",2022
Palencia,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,6","1,1","1,0","1,0","1,0","1,0","1,0",2022
Palencia,Cuartil_1,"1,0","1,0","1,0","1,0","1,1","1,6","3,5","3,1","1,3","1,0","1,0","1,0","1,0",2022
Palencia,Mediana,"1,0","1,0","1,0","1,0","1,5","2,3","3,9","4,1","2,8","1,2","1,0","1,0","1,1",2022
Palencia,Media,"1,1","1,1","1,0","1,1","1,8","2,6","3,9","3,8","2,6","1,7","1,0","1,0","1,9",2022
Palencia,Cuartil_3,"1,0","1,1","1,0","1,0","2,3","3,7","4,5","4,4","3,6","2,1","1,0","1,0","2,7",2022
Palencia,Maximo,"1,4","1,9","1,3","2,7","3,9","5,0","5,0","5,0","4,8","4,3","1,0","1,0","5,0",2022
Las Palmas,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,5","1,0","1,0","1,0","1,0","1,0","1,0",2022
Las Palmas,Cuartil_1,"1,0","1,1","1,0","1,0","1,2","1,7","2,2","1,9","1,0","1,0","1,0","1,0","1,0",2022
Las Palmas,Mediana,"1,1","1,3","1,0","1,1","1,4","2,5","2,3","2,2","1,2","1,0","1,1","1,0","1,3",2022
Las Palmas,Media,"1,6","1,5","1,3","1,6","1,7","2,4","2,6","2,3","1,5","1,1","1,5","1,3","1,7",2022
Las Palmas,Cuartil_3,"1,8","1,6","1,4","1,8","2,0","3,1","2,8","2,8","1,6","1,0","1,4","1,1","2,2",2022
Las Palmas,Maximo,"3,7","3,6","3,0","3,6","2,9","3,8","4,7","3,7","3,3","1,4","3,5","3,6","4,7",2022
Pontevedra,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0",2022
Pontevedra,Cuartil_1,"1,0","1,0","1,0","1,0","1,0","1,0","2,2","3,0","1,0","1,0","1,0","1,0","1,0",2022
Pontevedra,Mediana,"1,0","1,0","1,0","1,0","1,7","1,0","3,2","3,5","1,2","1,0","1,0","1,0","1,0",2022
Pontevedra,Media,"1,1","1,2","1,1","1,2","1,7","1,0","3,0","3,3","1,6","1,1","1,0","1,0","1,5",2022
Pontevedra,Cuartil_3,"1,1","1,2","1,0","1,2","2,2","1,0","3,9","3,9","1,8","1,1","1,0","1,0","1,6",2022
Pontevedra,Maximo,"2,2","2,1","1,6","2,4","3,0","1,2","4,5","4,5","3,3","1,6","1,1","1,0","4,5",2022
Salamanca,Minimo,"1,0","1,0","1,0","1,0","1,0","1,0","1,3","1,9","1,0","1,0","1,0","1,0","1,0",2022
Salamanca,Cuartil_1,"1,0","1,0","1,0","1,0","1,0","1,3","3,4","3,3","1,0","1,0","1,0","1,0","1,0",2022
Salamanca,Mediana,"1,0","1,0","1,0","1,0","1,4","2,0","4,0","4,2","1,3","1,0","1,0","1,0","1,0",2022
Salamanca,Media,"1,0","1,2","1,0","1,0","1,7","2,4","3,9","3,8","1,8","1,1","1,0","1,0","1,8",2022
Salamanca,Cuartil_3,"1,0","1,3","1,0","1,0","2,2","3,4","4,8","4,5","2,2","1,0","1,0","1,0","2,2",2022
Salamanca,Maximo,"1,1","2,3","1,1","1,1","3,2","4,9","5,0","5,0","4,4","2,6","1,0","1,0","5,0",2022
Santa Cruz de Tenerife,Minimo,"1,0","1,0","1,0","1,0","1,0","1,1","1,7","1,1","1,0","1,0","1,0","1,0","1,0",2022
Santa Cruz de Tenerife,Cuartil_1,"1,0","1,0","1,0","1,0","1,3","1,8","2,8","1,8","1,0","1,0","1,1","1,0","1,0",2022
Santa Cruz de Tenerife,Mediana,"1,0","1,0","1,0","1,0","1,5","2,2","3,0","2,9","1,1","1,0","1,2","1,0","1,1",2022
Santa Cruz de Tenerife,Media,"1,3","1,1","1,0","1,2","1,5","2,2","3,2","2,7","1,2","1,0","1,3","1,0","1,6",2022
Santa Cruz de Tenerife,Cuartil_3,"1,5","1,1","1,1","1,1","1,7","2,6","3,7","3,5","1,3","1,0","1,5","1,0","1,8",2022
Santa Cruz de Tenerife,Maximo,"2,3","1,4","1,3","2,3","2,3","3,1","4,7","4,0","1,9","1,2","2,2","1,3","4,7",2022
