Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Almeria,Alto,0,0,"9,68",0,"12,9",20,"54,84","32,26","26,67","12,9",0,0,"14,21",2020
Almeria,Muy_Alto,0,0,0,0,0,0,"29,03","58,06",10,"3,23",0,0,"8,47",2020
Almeria,Extremo,0,0,0,0,0,0,"3,23","3,23",0,0,0,0,"0,55",2020
Avila,Bajo,"48,39","27,59","54,84","96,67","38,71","46,67","3,23","12,9","46,67","96,77",100,100,"56,01",2020
Avila,Moderado,"51,61","62,07","45,16","3,33","48,39","43,33","6,45","6,45","6,67","3,23",0,0,"22,95",2020
Avila,Alto,0,"10,34",0,0,"12,9",10,"25,81","25,81","16,67",0,0,0,"8,47",2020
Avila,Muy_Alto,0,0,0,0,0,0,"51,61","29,03","26,67",0,0,0,"9,02",2020
Avila,Extremo,0,0,0,0,0,0,"12,9","25,81","3,33",0,0,0,"3,55",2020
Badajoz,Bajo,"96,77","68,97","54,84",100,"29,03",10,"3,23","12,9",40,"83,87",100,100,"58,2",2020
Badajoz,Moderado,"3,23","31,03","45,16",0,"67,74",50,"3,23","6,45",20,"9,68",0,0,"19,67",2020
Badajoz,Alto,0,0,0,0,"3,23","16,67","32,26","35,48","13,33","3,23",0,0,"8,74",2020
Badajoz,Muy_Alto,0,0,0,0,0,"23,33","45,16","29,03","23,33",0,0,0,"10,11",2020
Badajoz,Extremo,0,0,0,0,0,0,"16,13","16,13","3,33","3,23",0,0,"3,28",2020
Illes Balears,Bajo,"83,87","48,28","45,16",70,"25,81","46,67","6,45","6,45",70,"87,1",80,"90,32","54,92",2020
Illes Balears,Moderado,"16,13","37,93","38,71","23,33","58,06",40,"22,58","32,26","16,67","6,45","13,33","9,68","26,23",2020
Illes Balears,Alto,0,"13,79","16,13","6,67","16,13","13,33","41,94","45,16",10,"3,23","6,67",0,"14,48",2020
Illes Balears,Muy_Alto,0,0,0,0,0,0,"22,58","9,68","3,33","3,23",0,0,"3,28",2020
Illes Balears,Extremo,0,0,0,0,0,0,"6,45","6,45",0,0,0,0,"1,09",2020
Barcelona,Bajo,"70,97","24,14","45,16",50,"29,03","56,67","6,45","9,68",60,"96,77","96,67",100,"53,83",2020
Barcelona,Moderado,"29,03","55,17","32,26","33,33","16,13","33,33","35,48","6,45","36,67","3,23","3,33",0,"23,5",2020
Barcelona,Alto,0,"20,69","22,58","16,67","54,84",10,"19,35","22,58","3,33",0,0,0,"14,21",2020
Barcelona,Muy_Alto,0,0,0,0,0,0,"25,81","38,71",0,0,0,0,"5,46",2020
Barcelona,Extremo,0,0,0,0,0,0,"12,9","22,58",0,0,0,0,"3,01",2020
Burgos,Bajo,"51,61","34,48","35,48",90,"29,03",70,"3,23","22,58","43,33","96,77","96,67",100,"56,01",2020
Burgos,Moderado,"48,39","55,17","58,06",10,"38,71","23,33","12,9","16,13",0,"3,23","3,33",0,"22,4",2020
Burgos,Alto,0,"10,34","6,45",0,"32,26","6,67","41,94","19,35","23,33",0,0,0,"11,75",2020
Burgos,Muy_Alto,0,0,0,0,0,0,"32,26","22,58","26,67",0,0,0,"6,83",2020
Burgos,Extremo,0,0,0,0,0,0,"9,68","19,35","6,67",0,0,0,"3,01",2020
Caceres,Bajo,100,"72,41","51,61","96,67","45,16","23,33","3,23","6,45","46,67","96,77",100,100,"61,75",2020
Caceres,Moderado,0,"27,59","48,39","3,33","54,84",50,"3,23","16,13","6,67","3,23",0,0,"17,76",2020
Caceres,Alto,0,0,0,0,0,20,"19,35","16,13","16,67",0,0,0,"6,01",2020
Caceres,Muy_Alto,0,0,0,0,0,"6,67","61,29","45,16","16,67",0,0,0,"10,93",2020
Caceres,Extremo,0,0,0,0,0,0,"12,9","16,13","13,33",0,0,0,"3,55",2020
Cadiz,Bajo,"93,55","62,07","61,29",100,"38,71",30,"3,23","12,9","36,67","64,52",100,100,"58,47",2020
Cadiz,Moderado,"6,45","37,93","38,71",0,"41,94","53,33","29,03","22,58","23,33","12,9",0,0,"22,13",2020
Cadiz,Alto,0,0,0,0,"19,35",10,"38,71","38,71","13,33","16,13",0,0,"11,48",2020
Cadiz,Muy_Alto,0,0,0,0,0,"6,67","22,58","22,58","13,33","6,45",0,0,"6,01",2020
Cadiz,Extremo,0,0,0,0,0,0,"6,45","3,23","13,33",0,0,0,"1,91",2020
Castellon,Bajo,"58,06","44,83","58,06","96,67","38,71","43,33","19,35","3,23","13,33","29,03",90,100,"49,45",2020
Castellon,Moderado,"38,71","31,03","9,68","3,33","54,84","53,33","32,26","16,13","23,33","41,94",10,0,"26,23",2020
Castellon,Alto,"3,23","20,69","22,58",0,"6,45","3,33","25,81","19,35","23,33","22,58",0,0,"12,3",2020
Castellon,Muy_Alto,0,"3,45","9,68",0,0,0,"22,58","54,84","36,67","6,45",0,0,"11,2",2020
Castellon,Extremo,0,0,0,0,0,0,0,"6,45","3,33",0,0,0,"0,82",2020
Ciudad Real,Bajo,"90,32","68,97","54,84","96,67","29,03","16,67",0,"16,13","46,67","87,1",100,100,"58,74",2020
Ciudad Real,Moderado,"9,68","31,03","45,16","3,33","61,29","56,67","16,13","16,13","36,67","3,23",0,0,"23,22",2020
Ciudad Real,Alto,0,0,0,0,"9,68","23,33","25,81","32,26","6,67","6,45",0,0,"8,74",2020
Ciudad Real,Muy_Alto,0,0,0,0,0,"3,33","48,39","22,58",10,"3,23",0,0,"7,38",2020
Ciudad Real,Extremo,0,0,0,0,0,0,"9,68","12,9",0,0,0,0,"1,91",2020
Cordoba,Bajo,"90,32","72,41","51,61",100,"32,26",10,0,"19,35","53,33","87,1",100,100,"59,56",2020
Cordoba,Moderado,"9,68","27,59","48,39",0,"58,06","43,33","9,68","16,13","23,33","6,45",0,0,"20,22",2020
Cordoba,Alto,0,0,0,0,"9,68",30,"22,58","22,58","16,67",0,0,0,"8,47",2020
Cordoba,Muy_Alto,0,0,0,0,0,"13,33","51,61","32,26","6,67","6,45",0,0,"9,29",2020
Cordoba,Extremo,0,0,0,0,0,"3,33","16,13","9,68",0,0,0,0,"2,46",2020
A Coruña,Bajo,"45,16","51,72","45,16","66,67","19,35",30,0,"61,29","43,33","96,77","96,67",100,"54,64",2020
A Coruña,Moderado,"54,84","44,83","35,48",30,"32,26","53,33","6,45","3,23","16,67","3,23","3,33",0,"23,5",2020
A Coruña,Alto,0,"3,45","16,13",0,"22,58","16,67","9,68","3,23","13,33",0,0,0,"7,1",2020
A Coruña,Muy_Alto,0,0,"3,23","3,33","22,58",0,"64,52","29,03","26,67",0,0,0,"12,57",2020
A Coruña,Extremo,0,0,0,0,"3,23",0,"19,35","3,23",0,0,0,0,"2,19",2020
Cuenca,Bajo,"70,97","68,97","70,97","96,67","35,48","23,33","22,58","6,45","43,33","93,55",100,100,"60,93",2020
Cuenca,Moderado,"29,03","24,14","29,03","3,33","51,61",50,0,"16,13","23,33","6,45",0,0,"19,4",2020
Cuenca,Alto,0,"6,9",0,0,"12,9","23,33","29,03","29,03","23,33",0,0,0,"10,38",2020
Cuenca,Muy_Alto,0,0,0,0,0,"3,33","29,03","35,48","6,67",0,0,0,"6,28",2020
