Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Bizkaia;Cuartil_3;1;1,2;1,5;3,8;1,4;2,3;2;3,1;1,8;2,1;1;1,1;1,8
Bizkaia;Maximo;1,7;3,9;4,8;4,9;4;4,3;2,7;4,5;4,8;4,2;1,1;2,7;4,9
Zamora;Minimo;1;1;1;1;1;1;1;1;1;1;1;1;1
Zamora;Cuartil_1;1;1;1;1;1;1;2,1;3,3;1;1;1;1;1
Zamora;Mediana;1;1;1;1;1;1;3,1;3,8;1;1;1;1;1
Zamora;Media;1;1;1,1;1,1;1,2;1,6;2,9;3,7;1,6;1;1;1;1,5
Zamora;Cuartil_3;1;1;1,2;1,1;1;2,2;3,9;4,6;1,9;1;1;1;1,3
Zamora;Maximo;1;1;2,1;1,9;2,3;4,2;4,9;5;4,4;1,2;1,1;1;5
Zaragoza;Minimo;1;1;1;1;1;1;1,5;1,3;1;1;1;1;1
Zaragoza;Cuartil_1;1;1;1;1;1;1;2,8;2,6;1;1;1;1;1
Zaragoza;Mediana;1;1;1,2;1,1;1,1;1,1;3,3;3,2;1;1,1;1;1;1
Zaragoza;Media;1;1;1,4;1,7;1,3;1,4;3,3;3,2;1,2;1,2;1,1;1;1,6
Zaragoza;Cuartil_3;1;1;1,4;2,3;1,6;1,5;3,8;4,1;1,2;1,3;1;1;1,8
Zaragoza;Maximo;1;1,3;3,2;4,1;2,6;3,5;4,9;5;2,1;2,2;1,8;1;5
