Provincia;Niveles;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Salamanca;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 32,26; 29,03;  0,00;  0,00;  0,00;  0,00;  6,03
Santa Cruz de Tenerife;Bajo; 74,19;100,00;100,00; 90,00; 61,29; 10,00;  0,00;  6,45; 90,00;100,00; 76,67;100,00; 67,12
Santa Cruz de Tenerife;Moderado; 25,81;  0,00;  0,00; 10,00; 38,71; 63,33; 16,13; 32,26; 10,00;  0,00; 23,33;  0,00; 18,36
Santa Cruz de Tenerife;Alto;  0,00;  0,00;  0,00;  0,00;  0,00; 26,67; 48,39; 35,48;  0,00;  0,00;  0,00;  0,00;  9,32
Santa Cruz de Tenerife;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00; 29,03; 25,81;  0,00;  0,00;  0,00;  0,00;  4,66
Santa Cruz de Tenerife;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  0,00;  6,45;  0,00;  0,00;  0,00;  0,00;  0,00;  0,55
Cantabria;Bajo; 61,29; 75,00; 70,97; 70,00; 45,16; 76,67; 25,81; 22,58; 40,00; 41,94; 80,00; 83,87; 57,53
Cantabria;Moderado; 32,26; 25,00; 22,58; 10,00; 16,13;  0,00; 19,35; 16,13;  6,67; 12,90; 10,00; 16,13; 15,62
Cantabria;Alto;  3,23;  0,00;  6,45; 16,67; 19,35; 13,33;  6,45; 16,13; 20,00; 19,35;  3,33;  0,00; 10,41
Cantabria;Muy_Alto;  3,23;  0,00;  0,00;  3,33; 19,35;  0,00; 22,58; 25,81; 20,00; 19,35;  6,67;  0,00; 10,14
Cantabria;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 25,81; 19,35; 13,33;  6,45;  0,00;  0,00;  6,30
Segovia;Bajo;100,00; 92,86;100,00; 96,67; 74,19; 26,67;  0,00;  3,23; 43,33; 61,29;100,00;100,00; 66,30
Segovia;Moderado;  0,00;  7,14;  0,00;  3,33; 19,35; 23,33;  3,23; 16,13; 23,33; 25,81;  0,00;  0,00; 10,14
Segovia;Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 12,90; 12,90; 16,67; 12,90;  0,00;  0,00;  6,58
Segovia;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 20,00; 45,16; 35,48; 16,67;  0,00;  0,00;  0,00; 10,14
Segovia;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 38,71; 32,26;  0,00;  0,00;  0,00;  0,00;  6,85
Sevilla;Bajo;100,00; 92,86;100,00;100,00; 58,06;  6,67;  6,45; 16,13; 43,33; 64,52;100,00;100,00; 65,48
Sevilla;Moderado;  0,00;  7,14;  0,00;  0,00; 12,90; 33,33;  9,68; 12,90; 43,33; 29,03;  0,00;  0,00; 12,33
Sevilla;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 16,67; 12,90; 48,39; 10,00;  3,23;  0,00;  0,00;  8,49
Sevilla;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 16,13; 20,00; 19,35; 19,35;  3,33;  3,23;  0,00;  0,00;  6,85
Sevilla;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 23,33; 51,61;  3,23;  0,00;  0,00;  0,00;  0,00;  6,85
Soria;Bajo; 96,77; 82,14;100,00; 86,67; 64,52;  3,33;  3,23;  6,45; 16,67; 38,71;100,00;100,00; 58,08
Soria;Moderado;  3,23; 17,86;  0,00; 13,33;  6,45; 23,33;  6,45; 16,13; 23,33; 32,26;  0,00;  0,00; 11,78
Soria;Alto;  0,00;  0,00;  0,00;  0,00; 19,35; 23,33; 12,90; 16,13; 26,67; 16,13;  0,00;  0,00;  9,59
Soria;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 33,33; 41,94; 41,94; 23,33;  9,68;  0,00;  0,00; 13,15
Soria;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 16,67; 35,48; 19,35; 10,00;  3,23;  0,00;  0,00;  7,40
Tarragona;Bajo; 90,32; 64,29;100,00; 90,00; 54,84; 20,00; 19,35;  9,68; 60,00; 83,87; 63,33;100,00; 63,01
Tarragona;Moderado;  6,45; 28,57;  0,00;  6,67; 35,48; 26,67; 22,58; 19,35; 26,67; 16,13; 33,33;  0,00; 18,36
Tarragona;Alto;  3,23;  7,14;  0,00;  3,33;  6,45; 16,67; 35,48; 58,06;  3,33;  0,00;  0,00;  0,00; 11,23
Tarragona;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 33,33; 22,58;  9,68; 10,00;  0,00;  3,33;  0,00;  6,85
Tarragona;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  3,33;  0,00;  3,23;  0,00;  0,00;  0,00;  0,00;  0,55
Teruel;Bajo; 87,10; 50,00;100,00; 90,00; 58,06;  3,33;  9,68;  9,68; 46,67; 41,94; 76,67;100,00; 56,16
Teruel;Moderado;  9,68; 46,43;  0,00; 10,00; 19,35; 13,33; 12,90;  6,45; 20,00; 29,03; 13,33;  0,00; 14,79
Teruel;Alto;  3,23;  3,57;  0,00;  0,00;  9,68; 20,00; 16,13; 16,13;  6,67; 29,03; 10,00;  0,00;  9,59
Teruel;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 26,67; 35,48; 41,94; 23,33;  0,00;  0,00;  0,00; 11,51
Teruel;Extremo;  0,00;  0,00;  0,00;  0,00;  3,23; 36,67; 25,81; 25,81;  3,33;  0,00;  0,00;  0,00;  7,95
Toledo;Bajo;100,00;100,00;100,00;100,00; 61,29;  3,33;  0,00;  3,23; 50,00; 83,87;100,00;100,00; 66,58
Toledo;Moderado;  0,00;  0,00;  0,00;  0,00; 25,81; 30,00;  0,00; 19,35; 16,67; 16,13;  0,00;  0,00;  9,04
Toledo;Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 20,00; 22,58; 29,03; 26,67;  0,00;  0,00;  0,00;  9,04
Toledo;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  3,23; 33,33; 29,03; 45,16;  6,67;  0,00;  0,00;  0,00;  9,86
Toledo;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 13,33; 48,39;  3,23;  0,00;  0,00;  0,00;  0,00;  5,48
Valencia;Bajo; 83,87; 64,29;100,00;100,00; 87,10; 16,67; 16,13;  9,68; 56,67; 96,77; 76,67;100,00; 67,40
Valencia;Moderado; 12,90; 35,71;  0,00;  0,00; 12,90; 33,33; 22,58;  6,45;  3,33;  3,23; 13,33;  0,00; 11,78
Valencia;Alto;  3,23;  0,00;  0,00;  0,00;  0,00; 40,00; 19,35; 16,13; 16,67;  0,00;  6,67;  0,00;  8,49
Valencia;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  0,00;  6,67; 19,35; 38,71; 16,67;  0,00;  3,33;  0,00;  7,12
Valencia;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00;  3,33; 22,58; 29,03;  6,67;  0,00;  0,00;  0,00;  5,21
Valladolid;Bajo;100,00;100,00;100,00; 96,67; 35,48; 16,67;  0,00;  3,23; 43,33; 77,42;100,00;100,00; 64,11
Valladolid;Moderado;  0,00;  0,00;  0,00;  0,00; 35,48; 33,33;  3,23; 12,90; 23,33; 16,13;  0,00;  0,00; 10,41
Valladolid;Alto;  0,00;  0,00;  0,00;  3,33; 19,35; 13,33; 12,90; 12,90; 23,33;  0,00;  0,00;  0,00;  7,12
Valladolid;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  9,68; 23,33; 45,16; 51,61;  6,67;  6,45;  0,00;  0,00; 12,05
Valladolid;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 13,33; 38,71; 19,35;  3,33;  0,00;  0,00;  0,00;  6,30
Bizkaia;Bajo; 87,10; 96,43; 70,97; 73,33; 51,61; 46,67; 16,13; 25,81; 33,33; 38,71; 80,00; 83,87; 58,36
Bizkaia;Moderado;  3,23;  3,57; 12,90;  6,67;  9,68; 20,00; 19,35;  9,68;  3,33;  9,68;  0,00;  9,68;  9,04
Bizkaia;Alto;  6,45;  0,00;  9,68; 10,00; 19,35; 16,67; 16,13; 16,13;  6,67;  9,68;  6,67;  6,45; 10,41
Bizkaia;Muy_Alto;  3,23;  0,00;  6,45; 10,00; 19,35;  6,67; 19,35; 12,90; 23,33;  6,45; 13,33;  0,00; 10,14
Bizkaia;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 29,03; 35,48; 33,33; 35,48;  0,00;  0,00; 12,05
Zamora;Bajo;100,00; 96,43;100,00; 96,67; 25,81; 30,00;  0,00;  0,00; 40,00; 87,10;100,00;100,00; 64,38
Zamora;Moderado;  0,00;  3,57;  0,00;  3,33; 38,71; 23,33;  9,68; 16,13; 23,33;  9,68;  0,00;  0,00; 10,68
Zamora;Alto;  0,00;  0,00;  0,00;  0,00; 29,03; 16,67; 19,35;  9,68; 23,33;  3,23;  0,00;  0,00;  8,49
Zamora;Muy_Alto;  0,00;  0,00;  0,00;  0,00;  6,45; 20,00; 45,16; 54,84;  6,67;  0,00;  0,00;  0,00; 11,23
Zamora;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 10,00; 25,81; 19,35;  6,67;  0,00;  0,00;  0,00;  5,21
Zaragoza;Bajo; 96,77; 85,71;100,00; 76,67; 41,94;  0,00;  6,45;  6,45; 16,67; 54,84; 96,67;100,00; 56,71
Zaragoza;Moderado;  3,23; 14,29;  0,00; 20,00; 29,03; 16,67; 16,13; 12,90; 43,33; 38,71;  3,33;  0,00; 16,44
Zaragoza;Alto;  0,00;  0,00;  0,00;  3,33; 16,13; 26,67; 25,81; 38,71; 26,67;  6,45;  0,00;  0,00; 12,05
Zaragoza;Muy_Alto;  0,00;  0,00;  0,00;  0,00; 12,90; 40,00; 35,48; 25,81; 13,33;  0,00;  0,00;  0,00; 10,68
Zaragoza;Extremo;  0,00;  0,00;  0,00;  0,00;  0,00; 16,67; 16,13; 16,13;  0,00;  0,00;  0,00;  0,00;  4,11
