Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Girona;Maximo;2,7;3,1;2,2;2,8;4,6;4,9;5,0;4,7;3,9;3,2;3,5;1,8;5,0
Granada;Minimo;1,0;1,0;1,0;1,0;1,0;1,3;3,2;1,7;1,0;1,0;1,0;1,0;1,0
Granada;Cuartil_1;1,0;1,0;1,0;1,0;1,0;3,1;3,9;3,7;1,2;1,0;1,2;1,0;1,0
Granada;Mediana;1,0;1,1;1,0;1,0;1,4;3,7;4,4;4,0;2,1;2,6;1,6;1,0;1,2
Granada;Media;1,1;1,2;1,0;1,0;2,0;3,6;4,2;4,0;2,3;2,4;1,8;1,0;2,1
Granada;Cuartil_3;1,1;1,3;1,0;1,0;3,1;4,7;4,7;4,4;3,4;3,3;2,0;1,0;3,4
Granada;Maximo;1,4;1,8;1,0;1,1;4,6;4,9;4,9;4,8;4,5;4,7;3,6;1,3;4,9
Guadalajara;Minimo;1,0;1,0;1,0;1,0;1,0;1,7;1,3;1,1;1,0;1,0;1,0;1,0;1,0
Guadalajara;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,7;3,8;3,0;1,0;1,0;1,0;1,0;1,0
Guadalajara;Mediana;1,0;1,1;1,0;1,0;1,0;3,5;4,3;4,0;1,2;1,2;1,0;1,0;1,0
Guadalajara;Media;1,1;1,2;1,0;1,1;1,5;3,5;4,1;3,6;2,1;1,4;1,0;1,0;1,9
Guadalajara;Cuartil_3;1,0;1,2;1,0;1,0;1,8;4,3;4,8;4,3;3,7;1,6;1,0;1,0;2,5
Guadalajara;Maximo;1,8;2,1;1,1;2,1;3,8;5,0;5,0;4,9;4,5;2,5;1,4;1,0;5,0
Gipuzkoa;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Gipuzkoa;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,0;1,7;1,4;1,0;1,2;1,0;1,0;1,0
Gipuzkoa;Mediana;1,0;1,0;1,0;1,0;1,9;1,5;2,9;3,4;3,4;3,0;1,0;1,0;1,1
Gipuzkoa;Media;1,3;1,0;1,5;1,5;2,3;2,2;3,1;3,2;3,0;3,0;1,5;1,3;2,1
